John,john@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Lara,lara@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Tim,tim@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Maria,maria@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Alfred,alfred@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Fatima,fatima@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Sofia,sofia@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Ximena,ximena@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Noah,noah@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
Stefan,stefan@berklee.edu,Lorem ipsum dolor sit amet%2C consectetur adipiscing elit%2C sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam%2C quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident%2C sunt in culpa qui officia deserunt mollit anim id est laborum.
